attributed_touch_type,attributed_touch_time,install_time,event_time,event_name,event_value,event_revenue,event_revenue_currency,event_revenue_usd,af_cost_model,af_cost_value,af_cost_currency,event_source,is_receipt_validated,af_prt,media_source,af_channel,af_keywords,install_app_store,campaign,af_c_id,af_adset,af_adset_id,af_ad,af_ad_id,af_ad_type,af_siteid,af_sub_siteid,af_sub1,af_sub2,af_sub3,af_sub4,af_sub5,contributor_1_touch_type,contributor_1_touch_time,contributor_1_af_prt,contributor_1_match_type,contributor_1_media_source,contributor_1_campaign,contributor_2_touch_type,contributor_2_touch_time,contributor_2_af_prt,contributor_2_media_source,contributor_2_campaign,contributor_2_match_type,contributor_3_touch_type,contributor_3_touch_time,contributor_3_af_prt,contributor_3_media_source,contributor_3_campaign,contributor_3_match_type,region,country_code,state,city,postal_code,dma,ip,wifi,operator,carrier,language,appsflyer_id,customer_user_id,android_id,advertising_id,imei,idfa,idfv,amazon_aid,device_type,device_category,platform,os_version,app_version,sdk_version,app_id,app_name,bundle_id,is_retargeting,retargeting_conversion_type,is_primary_attribution,af_attribution_lookback,af_reengagement_window,match_type,user_agent,http_referrer,original_url,gp_referrer,gp_click_time,gp_install_begin,gp_broadcast_referrer,custom_data,network_account_id,keyword_match_type,tagged_type,tagged_additional_data,tagged_validation_reason_value,is_tagged
click,1/21/2021 23:30,1/21/2021 23:32,###########,level 1,{whatever you want in a JSON},null,USD,1,null,0,null,SDK,null,null,googleadwords_int,UAC_Display,null,null,Mobile_Android_CPI,1.00E+11,1.00E+12,1.00E+12,,,ClickToDownload,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,NC,Laurinburg,28352,570,172.58.159.251,FALSE,T-Mobile,T-Mobile,English,obfuscate,obfuscate,null,obfuscate,null,null,null,null,lge-LM-Q720,phone,android,10,4.44.0,v4.10.0,tv.my_app.mobile,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 10; LM-Q720 Build/QKQ1.200308.002),null,N/A,null,null,null,null,null,8027090356,null,click-flood,,organic,TRUE
click,2/11/2021 17:44,2/11/2021 17:46,###########,level 2,{whatever you want in a JSON},null,USD,2,null,0.01,null,SDK,null,null,googleadwords_int,UAC_Search,null,null,Mobile_Android_CPA,6.73E+09,7.96E+10,7.96E+10,,,ClickToDownload,GoogleSearch,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,IN,Columbus,47203,527,73.103.41.104,FALSE,MetroPCS,Metro by T-Mobile,Spanish,obfuscate,obfuscate,null,obfuscate,null,null,null,null,samsung-SM-N975U1,phone,android,10,4.44.0,v4.10.0,tv.my_app.mobile,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 10; SM-N975U1 Build/QP1A.190711.020),null,N/A,null,null,null,null,null,8027090356,null,app-evaluation,,,TRUE
click,2/11/2021 17:44,12/31/2020 0:00,###########,level 3,{whatever you want in a JSON},null,USD,1,null,0.003,null,SDK,null,null,googleadwords_int,UAC_Search,null,null,Mobile_Android_CPI,1.00E+11,1.00E+12,1.00E+12,,,ClickToDownload,GoogleSearch,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,NJ,Bloomfield,7003,501,172.58.236.24,FALSE,T-Mobile - US,T-Mobile,English,obfuscate,obfuscate,null,obfuscate,null,null,null,null,samsung-SM-A115U,phone,android,10,4.43.2,v4.10.0,tv.my_app.mobile,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 10; SM-A115U Build/QP1A.190711.020),null,N/A,null,null,null,null,null,8027090356,null,new-release,package_6 - 2025-10-29 00:00:00,,TRUE
click,9/28/2020 23:13,9/30/2020 23:41,###########,register,{whatever you want in a JSON},null,USD,1,null,0,null,SDK,null,null,googleadwords_int,UAC_Display,null,null,Mobile_Android_CPA,6.73E+09,7.96E+10,7.96E+10,,,ClickToDownload,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,NY,New Paltz,12561,501,69.206.185.162,TRUE,,,English,obfuscate,obfuscate,null,obfuscate,null,null,null,null,RCA-RCT6A03W13E,tablet,android,8.1.0,4.44.0,v4.10.0,tv.my_app.mobile,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 8.1.0; RCT6A03W13E Build/O11019),null,N/A,null,null,null,null,null,8027090356,null,click-flood,,contributor1,TRUE
click,10/3/2020 17:51,10/3/2020 17:52,###########,purchase,{whatever you want in a JSON},null,USD,1,null,0,null,SDK,null,null,Apple Search Ads,null,my_apptv,null,my_appTV_Brand_LOC,9.93E+08,my_appTV_Brand_US_Exact_iPhone_iPad_All,9.93E+08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,VA,Midlothian,23113,556,100.7.63.54,TRUE,null,null,English,obfuscate,obfuscate,null,null,null,obfuscate,obfuscate,null,iPhone 7,phone,ios,14.4,5.7.1,v6.1.3,id9999999999,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,28d,null,srn,my_appTV/13989 CFNetwork/1220.1 Darwin/20.3.0,null,N/A,null,null,null,null,null,my_appTV_iOS_GlobalAudience_USA,Exact,app-evaluation,,contributor1,TRUE
null,null,1/28/2021 21:52,###########,purchase 2,{whatever you want in a JSON},null,USD,2,null,null,null,SDK,null,null,organic,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,TX,Converse,78109,641,70.121.144.39,TRUE,,,English,obfuscate,obfuscate,null,obfuscate,null,null,null,null,samsung-SM-T580,tablet,android,8.1.0,4.44.0,v4.10.0,tv.my_app.mobile,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,null,null,null,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-T580 Build/M1AJQ),null,null,null,null,null,,null,null,null,app-evaluation,,other,TRUE
click,6/23/2019 5:38,6/23/2019 5:39,###########,game_in_progress,{whatever you want in a JSON},null,USD,3,null,0,null,SDK,null,null,Apple Search Ads,null,null,null,my camapign,9.93E+08,my_appTV_SearchMatch_iPhone_iPad_All,9.93E+08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,CA,Los Angeles,90023,803,107.77.229.219,FALSE,null,null,English,obfuscate,obfuscate,null,null,null,obfuscate,obfuscate,null,iPhone 11,phone,ios,14.4,5.7.1,v6.1.3,id9999999999,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,null,null,srn,my_appTV/13989 CFNetwork/1220.1 Darwin/20.3.0,null,N/A,null,null,null,null,null,my_appTV_iOS_GlobalAudience_USA,null,app-evaluation,,contributor2,TRUE
click,9/7/2018 16:18,9/7/2018 20:23,###########,game_in_progress,{whatever you want in a JSON},null,USD,4,CPI,4,USD,SDK,null,Agency,clicksmob_int,null,null,null,my camapign,null,null,null,null,null,null,14959,null,RON,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,AL,Florence,35633,691,174.223.133.82,FALSE,null,null,English,obfuscate,obfuscate,null,null,null,obfuscate,obfuscate,null,iPhone 7 Plus,phone,ios,13.5.1,5.7.1,v6.1.3,id9999999999,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,7d,null,fingerprinting,my_appTV/13989 CFNetwork/1126 Darwin/19.5.0,obfuscate,obfuscate,null,null,null,obfuscate,null,null,null,click-flood,,contributor3,TRUE
click,11/24/2020 1:35,11/24/2020 1:36,###########,buffering_ended,{whatever you want in a JSON},null,USD,null,null,0,null,SDK,null,null,Apple Search Ads,null,tv m̩xico,null,my camapign,8.77E+08,Broad_Match,8.77E+08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,VA,Richmond,23234,556,107.77.202.217,FALSE,null,null,Spanish,obfuscate,obfuscate,null,null,null,,obfuscate,null,iPhone 11,phone,ios,14.3,5.7.0,v6.0.8,id9999999999,tv.my_app.mobile,tv.my_app.mobile,FALSE,null,TRUE,28d,null,srn,my_appTV/13865 CFNetwork/1209 Darwin/20.2.0,null,N/A,null,null,null,null,null,my_appTV_iOS_GlobalAudience_USA,Broad,new-release,package_6 - 2025-11-02 00:00:00,,TRUE
impression,9/27/2020 21:37,9/27/2020 21:42,###########,game_in_progress,{whatever you want in a JSON},null,USD,null,null,0,null,SDK,null,amazon,amazon,MOBILEAPP_AMAZON_FIRE_TV,null,null,my camapign,null,null,null,546,1.55E+06,9929x729,9999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,IA,Indianola,50125,679,199.66.15.58,TRUE,,,English,obfuscate,obfuscate,obfuscate,null,null,null,null,obfuscate,Amazon-AFTT,tablet,android,5.1.1,4.44.0,v4.10.0,com.my_app.firetv.screen,tv.my_app.mobile,com.my_app.firetv.screen,FALSE,null,TRUE,1d,null,id_matching,Dalvik/2.1.0 (Linux; U; Android 5.1.1; AFTT Build/LVY48F),null,null,null,null,null,,null,null,null,app-evaluation,,organic,TRUE
