is_receipt_validated,af_prt,media_source,af_channel,af_keywords,install_app_store,campaign,af_c_id,af_adset,af_adset_id,af_ad,af_ad_id,af_ad_type,af_siteid,af_sub_siteid,af_sub1,af_sub2,af_sub3,af_sub4,af_sub5,contributor_1_touch_type,contributor_1_touch_time,contributor_1_af_prt,contributor_1_match_type,contributor_1_media_source,contributor_1_campaign,contributor_2_touch_type,contributor_2_touch_time,contributor_2_af_prt,contributor_2_media_source,contributor_2_campaign,contributor_2_match_type,contributor_3_touch_type,contributor_3_touch_time,contributor_3_af_prt,contributor_3_media_source,contributor_3_campaign,contributor_3_match_type,region,country_code,state,city,postal_code,dma,ip,wifi,operator,carrier,language,appsflyer_id,customer_user_id,android_id,advertising_id,imei,idfa,idfv,amazon_aid,device_type,device_category,platform,os_version,app_version,sdk_version,app_id,com.obsufate,bundle_id,is_retargeting,retargeting_conversion_type,is_primary_attribution,af_attribution_lookback,af_reengagement_window,match_type,user_agent,http_referrer,original_url,gp_referrer,gp_click_time,gp_install_begin,gp_broadcast_referrer,custom_data,network_account_id,keyword_match_type,tagged_type,tagged_additional_data,tagged_validation_reason_value,is_tagged
null,null,Apple Search Ads,null,abc,null,AAA,102888790,my ad set abc,102111467,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,CO,Aurora,80010,751,172.58.63.36,FALSE,null,null,Spanish,9864565896858-8896654,null,null,null,null,obsucfate,obsucfate,null,iPhone XR,phone,ios,14.4,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,Exact,click-flood,,organic,TRUE
null,null,Apple Search Ads,null,,null,BBB,9999,my ad set def,102120224,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AS,IQ,DI,Al Mansouryah,32002,,91.106.57.70,TRUE,null,null,Arabic,9694868964546-4904009,null,null,null,null,obsucfate,obsucfate,null,iPhone 7 Plus,phone,ios,14.3,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,,app-evaluation,,,TRUE
null,null,Apple Search Ads,null,def,null,CCC,102901877,my ad set ghi,142130711,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,IN,Ft Wayne,46814,509,174.202.38.1,FALSE,null,null,English,9864566847065-7598888,null,null,null,null,obsucfate,obsucfate,null,iPhone XS Max,phone,ios,14.4,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,Exact,new-release,package_6 - 2025-10-29 00:00:00,,TRUE
null,null,Apple Search Ads,null,abc,null,DDD,102918869,my ad set xyz,102120127,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,EU,ES,BI,Durango,48215,,185.188.61.4,FALSE,null,null,English,9696756860657-8998685,null,null,null,null,obsucfate,obsucfate,null,"iPhone13,4",phone,ios,14.4,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,Exact,click-flood,,contributor1,TRUE
null,null,Apple Search Ads,null,999999,null,EEE,876801770,376448459,376442451,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,MD,Silver Spring,20906,511,71.191.134.199,TRUE,null,null,English,9864566899968-7860750,null,null,null,null,,obsucfate,null,"iPhone12,8",phone,ios,14.4,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,,app-evaluation,,contributor1,TRUE
null,null,Apple Search Ads,null,zyz,null,FFFFFFFFFFFFFFFFFFFFFFFFFFF,876801770,Broad_Match,376463022,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,NY,New York,10025,501,156.146.37.171,FALSE,null,null,English,9864565869489-7798986,null,null,null,null,obsucfate,obsucfate,null,iPhone XS Max,phone,ios,14.0.1,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,28d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,999999,Broad,app-evaluation,,other,TRUE
null,null,googleadwords_int,ACI_Search,null,null,GGGGGGGGGGGGGGGGGGGGGG,6721777680,88985922227,22125122227,,,ClickToDownload,GoogleSearch,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,TX,Dallas,75248,623,172.58.107.72,FALSE,T-Mobile - US,T-Mobile,English,9864565567449-5460980040986646796,null,null,obsucfate,null,null,null,null,samsung-SM-N960U,phone,android,10,4.44.0,v4.10.0,com.obsufate,com.obsufate,com.obsufate,FALSE,null,null,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020),null,N/A,null,null,null,,null,9999999999,null,app-evaluation,,contributor2,TRUE
null,null,googleadwords_int,ACI_Search,null,null,VERY LONG NAME,6722969867,2.99E+11,2.13E+11,,,ClickToDownload,SearchPartners,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,AL,Winfield,35594,630,170.199.252.231,TRUE,null,null,English,9864566655646-6977595,null,null,null,null,obsucfate,obsucfate,null,"iPhone13,2",phone,ios,14.4,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,7d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,9999999999,null,click-flood,,contributor3,TRUE
null,null,googleadwords_int,ACI_Search,null,null,I,11188788708,1.09E+11,1.01E+11,,,ClickToDownload,GoogleSearch,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,MS,Charleston,38921,647,50.86.54.250,FALSE,C Spire,C Spire,English,9864565759495-8666879956960699865,null,null,obsucfate,null,null,null,null,motorola-moto e6,phone,android,9,4.44.0,v4.10.0,com.obsufate,com.obsufate,com.obsufate,FALSE,null,null,7d,null,srn,Dalvik/2.1.0 (Linux; U; Android 9; moto e6 Build/PPBS29.73-81-5-14-5-4-2),null,N/A,null,null,null,,null,9999999999,null,new-release,package_6 - 2025-11-02 00:00:00,,TRUE
null,null,googleadwords_int,ACI_Display,null,null,J,11180788688,2.96E+11,2.16E+11,,,ClickToDownload,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,NA,US,NY,New York,10025,501,196.53.0.84,FALSE,null,null,English,9694880907868-6088846,null,null,null,null,obsucfate,obsucfate,null,iPhone 6s,phone,ios,14.3,5.7.1,v6.1.3,id999999999,com.obsufate,com.obsufate,FALSE,null,null,7d,null,srn,XYZ/network/1220.1 Darwin/20.3.0,null,N/A,null,null,null,,null,9999999999,null,app-evaluation,,organic,TRUE
